CATEGORY,CLEANED,GENDER
Women's_association_football_competitions_in_North_America,women 's association football competitions in north america,W
Illinois_Wesleyan_Titans_men's_basketball,illinois wesleyan titans men 's basketball,M
Wheeling_Cardinals_men's_basketball,wheeling cardinals men 's basketball,M
Men_and_feminism,men and feminism,M
Women's_football_in_China,women 's football in china,W
Women's_national_sports_teams_of_China,women 's national sports teams of china,W
Women's_sports_teams_in_China,women 's sports teams in china,W
Women's_sports_in_Asia,women 's sports in asia,W
Women's_golf_in_the_United_Kingdom,women 's golf in the united kingdom,W
Women's_sports_competitions_in_the_United_Kingdom,women 's sports competitions in the united kingdom,W
Tampa_Spartans_men's_soccer,tampa spartans men 's soccer,M
Women's_association_football_leagues_in_Asia,women 's association football leagues in asia,W
Women's_soccer_competitions_in_Australia,women 's soccer competitions in australia,W
Women's_sports_leagues_in_Australia,women 's sports leagues in australia,W
Women's_soccer_in_Australia,women 's soccer in australia,W
Oceanian_women's_national_association_football_teams,oceanian women 's national association football teams,W
Women's_football_in_Austria,women 's football in austria,W
Women's_sports_competitions_in_Austria,women 's sports competitions in austria,W
Women_in_20th-century_warfare,women in 20th century warfare,W
NYU_Violets_women's_basketball,nyu violets women 's basketball,W
Female_genital_procedures,female genital procedures,W
Asian_women's_football_biography_stubs,asian women 's football biography stubs,W
Women's_sports_leagues_in_South_America,women 's sports leagues in south america,W
Confederation_of_African_Football_competitions_for_women's_national_teams,confederation of african football competitions for women 's national teams,W
Women's_sport_in_Argentina,women 's sport in argentina,W
American_women_journalists,american women journalists,W
Australia_women's_national_soccer_team,australia women 's national soccer team,W
Noninflammatory_disorders_of_female_genital_tract,noninflammatory disorders of female genital tract,W
Women_by_British_Overseas_Territory,women by british overseas territory,W
Women_in_Gibraltar,women in gibraltar,W
Women_in_El_Salvador,women in el salvador,W
Women_in_Paraguay,women in paraguay,W
Women_in_Panama,women in panama,W
Women_in_Kosovo,women in kosovo,W
Women_in_Suriname,women in suriname,W
Women_in_Trinidad_and_Tobago,women in trinidad and tobago,W
Male_infertility,male infertility,M
Indigenous_women_of_the_Americas,indigenous women of the americas,W
Sun_Belt_Conference_women's_basketball,sun belt conference women 's basketball,W
Louisiana_Ragin'_Cajuns_women's_basketball,louisiana ragin ' cajuns women 's basketball,W
Women_in_warfare_post-1945,women in warfare post 1945,W
Women_in_technology,women in technology,W
Women_in_engineering,women in engineering,W
Trinidad_and_Tobago_female_singers,trinidad and tobago female singers,W
College_men's_soccer_conference_seasons_in_the_United_States,college men 's soccer conference seasons in the united states,M
Young_Men_(organization),young men ( organization ) ,M
General_Presidents_of_the_Young_Women_(organization),general presidents of the young women ( organization ) ,W
Young_Women_(organization)_people,young women ( organization ) people,W
General_Presidents_of_the_Young_Men_(organization),general presidents of the young men ( organization ) ,M
Young_Men_(organization)_people,young men ( organization ) people,M
Young_Women_(organization),young women ( organization ) ,W
Quinnipiac_Bobcats_men's_ice_hockey,quinnipiac bobcats men 's ice hockey,M
Central_Connecticut_Blue_Devils_men's_basketball,central connecticut blue devils men 's basketball,M
2011–12_in_American_women's_ice_hockey,2011 12 in american women 's ice hockey,W
2011–12_in_women's_ice_hockey_leagues,2011 12 in women 's ice hockey leagues,W
Valparaiso_Crusaders_women's_basketball,valparaiso crusaders women 's basketball,W
Loyola_Ramblers_women's_basketball,loyola ramblers women 's basketball,W
American_women_artists,american women artists,W
Metro_State_Roadrunners_men's_basketball,metro state roadrunners men 's basketball,M
Immaculata_Mighty_Macs_women's_basketball,immaculata mighty macs women 's basketball,W
Manx_women_by_occupation,manx women by occupation,W
Midwestern_State_Mustangs_men's_basketball,midwestern state mustangs men 's basketball,M
Tongan_women_by_occupation,tongan women by occupation,W
Asian_Football_Confederation_competitions_for_women's_national_teams,asian football confederation competitions for women 's national teams,W
Colorado_College_Tigers_men's_basketball,colorado college tigers men 's basketball,M
Women's_basketball_in_Europe_by_country,women 's basketball in europe by country,W
Washington_State_Cougars_women's_basketball,washington state cougars women 's basketball,W
Women_poets_by_language,women poets by language,W
UIC_Flames_women's_basketball,uic flames women 's basketball,W
Violence_against_women_in_Scotland,violence against women in scotland,W
Niagara_Purple_Eagles_women's_basketball,niagara purple eagles women 's basketball,W
Metro_Atlantic_Athletic_Conference_women's_basketball,metro atlantic athletic conference women 's basketball,W
Women's_organizations_based_in_Israel,women 's organizations based in israel,W
Texas_A&M_Aggies_women's_soccer,texas a m aggies women 's soccer,W
Southwestern_Athletic_Conference_women's_basketball,southwestern athletic conference women 's basketball,W
South_Alabama_Jaguars_men's_basketball,south alabama jaguars men 's basketball,M
Fairleigh_Dickinson_Knights_women's_basketball,fairleigh dickinson knights women 's basketball,W
East_Carolina_Pirates_women's_basketball,east carolina pirates women 's basketball,W
Women's_rights_in_Norway,women 's rights in norway,W
Norwegian_women's_rights_activists,norwegian women 's rights activists,W
Texas_A&M–Corpus_Christi_Islanders_women's_basketball,texas a m corpus christi islanders women 's basketball,W
Women's_ice_hockey_teams_in_Canada_by_league,women 's ice hockey teams in canada by league,W
U_Sports_men's_ice_hockey,u sports men 's ice hockey,M
2007–08_in_Canadian_women's_ice_hockey_by_league,2007 08 in canadian women 's ice hockey by league,W
Lehigh_Mountain_Hawks_men's_soccer,lehigh mountain hawks men 's soccer,M
FIFA_Women's_World_Cup_winners,fifa women 's world cup winners,W
International_women's_association_football_competition_tournaments,international women 's association football competition tournaments,W
American_college_men's_basketball_navigational_boxes_by_team,american college men 's basketball navigational boxes by team,M
Women_in_Nauru,women in nauru,W
Men's_sport_in_France,men 's sport in france,M
College_women's_soccer_by_conference_in_the_United_States,college women 's soccer by conference in the united states,W
Women's_interest_channels,women 's interest channels,W
Women's_basketball_in_Mali,women 's basketball in mali,W
Women's_rights_in_Greece,women 's rights in greece,W
WikiProject_Women's_sport_task_forces,wikiproject women 's sport task forces,W
Women's_universities_and_colleges_in_India,women 's universities and colleges in india,W
William_&_Mary_Tribe_men's_golf,william mary tribe men 's golf,M
Florida_Gators_women's_gymnastics,florida gators women 's gymnastics,W
Women's_football_task_force,women 's football task force,W
Atlantic_Coast_Conference_men's_soccer_templates,atlantic coast conference men 's soccer templates,M
Women_from_Haryana,women from haryana,W
Women's_professional_wrestling_promotions,women 's professional wrestling promotions,W
Texas_Longhorns_women's_volleyball,texas longhorns women 's volleyball,W
College_women's_volleyball_teams_in_the_United_States,college women 's volleyball teams in the united states,W
College_men's_volleyball_teams_in_the_United_States,college men 's volleyball teams in the united states,M
Texas_Tech_Red_Raiders_women's_volleyball,texas tech red raiders women 's volleyball,W
Green_Bay_Phoenix_men's_soccer,green bay phoenix men 's soccer,M
Green_Bay_Phoenix_women's_basketball,green bay phoenix women 's basketball,W
Green_Bay_Phoenix_men's_basketball,green bay phoenix men 's basketball,M
College_men's_soccer_seasons_in_the_United_States,college men 's soccer seasons in the united states,M
Human_female_reproductive_system,human female reproductive system,W
Guinean_women_by_occupation,guinean women by occupation,W
Women's_sports_in_Europe,women 's sports in europe,W
2011_NCAA_Division_I_men's_soccer_season,2011 ncaa division i men 's soccer season,M
Indian_women_writers,indian women writers,W
Women's_sports_teams_in_Wales,women 's sports teams in wales,W
Women's_rugby_union_competitions,women 's rugby union competitions,W
Women's_rights_in_the_Czech_Republic,women 's rights in the czech republic,W
Women's_tennis_in_Switzerland,women 's tennis in switzerland,W
Women_in_Oman,women in oman,W
Women_in_Bosnia_and_Herzegovina,women in bosnia and herzegovina,W
Women_in_Saint_Vincent_and_the_Grenadines,women in saint vincent and the grenadines,W
Women_in_North_Korea,women in north korea,W
Women_in_Yugoslavia,women in yugoslavia,W
Women's_association_football_players_by_nationality,women 's association football players by nationality,W
Women's_football_in_Argentina,women 's football in argentina,W
Women's_football_in_Armenia,women 's football in armenia,W
Women's_soccer_players_in_Australia,women 's soccer players in australia,W
Women's_football_in_Colombia,women 's football in colombia,W
Women's_footballers_in_Denmark,women 's footballers in denmark,W
Women's_footballers_in_Finland,women 's footballers in finland,W
Women's_footballers_in_France,women 's footballers in france,W
Women's_footballers_in_Germany,women 's footballers in germany,W
Women's_football_in_Ghana,women 's football in ghana,W
Women's_football_in_Greece,women 's football in greece,W
Women's_football_in_Iceland,women 's football in iceland,W
Women's_football_in_Iran,women 's football in iran,W
Women_footballers_in_Israel,women footballers in israel,W
Women's_footballers_in_Italy,women 's footballers in italy,W
Women_footballers_in_Japan,women footballers in japan,W
Women's_footballers_in_South_Korea,women 's footballers in south korea,W
Women's_football_in_North_Korea,women 's football in north korea,W
Women's_footballers_in_Norway,women 's footballers in norway,W
Women's_footballers_in_Poland,women 's footballers in poland,W
Women_footballers_in_Portugal,women footballers in portugal,W
Women's_association_footballers_in_the_Republic_of_Ireland,women 's association footballers in the republic of ireland,W
Women_footballers_in_Sweden,women footballers in sweden,W
Women's_football_in_Switzerland,women 's football in switzerland,W
Women's_football_in_Taiwan,women 's football in taiwan,W
Women's_footballers_in_Ukraine,women 's footballers in ukraine,W
Women's_football_in_Uruguay,women 's football in uruguay,W
Women's_football_in_Vietnam,women 's football in vietnam,W
American_female_skiers,american female skiers,W
Korean_female_tennis_players,korean female tennis players,W
Women's_sport_in_Mexico,women 's sport in mexico,W
Women_in_Taiwan,women in taiwan,W
Saint_Kitts_and_Nevis_women,saint kitts and nevis women,W
Women_in_Saint_Kitts_and_Nevis,women in saint kitts and nevis,W
Saint_Lucian_women,saint lucian women,W
Women_in_Saint_Lucia,women in saint lucia,W
Women_in_Monaco,women in monaco,W
Monegasque_women_by_occupation,monegasque women by occupation,W
Women_in_Lesotho,women in lesotho,W
Women's_football_clubs_in_the_United_Kingdom,women 's football clubs in the united kingdom,W
Japanese_women's_professional_wrestling_promotions,japanese women 's professional wrestling promotions,W
Women's_sport_in_Armenia,women 's sport in armenia,W
Armenian_women,armenian women,W
Big_South_Conference_men's_soccer,big south conference men 's soccer,M
Big_12_Conference_women's_soccer,big 12 conference women 's soccer,W
Women's_sport_in_Venezuela,women 's sport in venezuela,W
Women_in_Seychelles,women in seychelles,W
Women_in_the_Maldives,women in the maldives,W
Women_in_Palau,women in palau,W
Women_in_Tuvalu,women in tuvalu,W
Women_in_the_Cook_Islands,women in the cook islands,W
