TITLE,SYN_1,SYN_2,SYN_3
shift supervisor rn,rn shift manager,rn shift mgr,rn shift supervisor
ship manager,manager ship,ship supervisor,
shipping associate,shipping agent,shipping assistant,shipping lead
shipping clerk,shipping coordinator,,
shipping receiving clerk,shipping and receiving clerk,shipping receiving coordinator,
shipping supervisor,manager shipping,shipping manager,supervisor shipping
shipwright,boatwright,,
shop assistant,shop associate,shop lead,shop operator
shop coordinator,shop clerk,,
shop manager,manager shop,shop supervisor,
shop technician,shop mechanic,shop tech,
show host,morning show hostess,on air host,on air personality
showroom manager,showroom supervisor,,
sign language interpreter,asl interpreter,deaf interpreter,interpreter deaf
sign language teacher,deaf teacher,,
signal supervisor,signal manager,,
simulation technician,simulation analyst,simulation developer,simulation specialist
site director,director of site,director site,
site lead,site specialist,,
site manager,manager site,site supervisor,supervisor site
site operations manager,site operations supervisor,,
skills trainer,bilingual trainer,corporate trainer,development coach
sleep manager,sleep supervisor,,
slot shift manager,slot shift supervisor,,
slot supervisor,slot manager,supervisor slot,
small business director,director small business,,
social media intern,media intern,,
social media manager,manager social media,social media supervisor,
social media specialist,social media analyst,,
social service coordinator,social services coordinator,,
social services assistant,social service assistant,social service specialist,social service worker
social services director,director of social service,director of social services,director social services
social services manager,manager social services,social service manager,social service supervisor
social work associate,social work specialist,,
social work case manager,social work case supervisor,,
social work nurse,registered nurse social work,rn social work,
social work supervisor,case manager msw,manager lsw,manager msw
social worker,bsw,csw,lgsw
social worker assistant,social worker aid,,
software development coordinator,web development clerk,web development coordinator,
software development manager,application development manager,application development supervisor,applications development manager
software engineer,analyst programmer,app programmer,application designer
software intern,application intern,applications intern,programming intern
software product manager,software product supervisor,,
software qa manager,manager software quality assurance,software qa supervisor,software quality assurance manager
software test engineer,application tester,applications tester,sdet
solar manager,manager solar,solar supervisor,
solar sales manager,solar sales supervisor,,
solution director,director of solution,director solution,director solutions
solution manager,manager solution,solution supervisor,solutions manager
solution specialist,solution advisor,solution analyst,solution consultant
solutions architect,application architect,applications architect,computer architect
solutions engineer,solution designer,solution developer,solution engineer
sonographer,ultrasonographer,ultrasound tech,ultrasound technician
sort supervisor,sort manager,,
space planner,space technologist,,
spanish interpreter,spanish translator,,
special education assistant,special ed assistant,special education aide,
special education coordinator,special ed coordinator,,
special education supervisor,special education manager,,
special education teacher,sld teacher,special needs teacher,varying exceptionalities teacher
special events manager,manager special events,special events supervisor,
special procedures tech,special procedure tech,,
